ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_EXTERIOR;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_PAGOMATRICULABECA;ESTU_PAGOMATRICULACREDITO;ESTU_PAGOMATRICULAPADRES;ESTU_PAGOMATRICULAPROPIO;ESTU_COMOCAPACITOEXAMENSB11;ESTU_CURSODOCENTESIES;ESTU_CURSOIESAPOYOEXTERNO;ESTU_CURSOIESEXTERNA;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_TIPODOCUMENTOSB11;ESTU_SEMESTRECURSA;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_CUANTOSCOMPARTEBAÑO;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;ESTU_HORASSEMANATRABAJA;INST_COD_INSTITUCION;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;ESTU_SNIES_PRGMACADEMICO;ESTU_PRGM_CODMUNICIPIO;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_CODMUNICIPIO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITAT_DESEM;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PNBC;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_DESEM;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PNBC;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_DESEM;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PNBC;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PNBC;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PNBC;PUNT_GLOBAL;PERCENTIL_NBC;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_IES;ESTU_ESTADOINVESTIGACION;CLUSTERS 2;CLUSTERS 3;CLUSTERS 4
CE;VENEZUELA;M;28/5/1995;NO;20195;EK201950225976;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;;12 o más;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);No aplica;Más de 30 horas;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;187;3;90;78;160;3;64;38;150;2;59;35;191;B1;88;67;135;2;28;21;165;50;78;73,28862577;4;4;PUBLICAR;Oportunidad de Mejora;1;2
CE;VENEZUELA;F;8/1/1995;NO;20195;EK201950209251;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Menos de 20 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;;12 o más;;;;;;;;;;;;;;;;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;146;2;51;27;168;3;72;46;150;2;58;34;188;B1;86;62;177;3;86;76;166;51;79;;;4;PUBLICAR;Oportunidad de Mejora;1;1
CE;VENEZUELA;M;15/12/1994;NO;20195;EK201950207926;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;Si;Si;No;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;CE;12 o más;Postgrado;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;NINGUNA;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;172;3;79;58;151;2;53;27;186;3;91;79;216;B2;99;94;138;2;36;27;173;62;86;86,28791779;4;4;PUBLICAR;Aceptables;0;2
CE;VENEZUELA;F;2/12/1994;NO;20195;EK201950226093;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;;12 o más;Educación profesional completa;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;NINGUNA;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;187;3;90;78;194;3;93;80;173;3;82;62;203;B2;94;82;220;4;100;99;195;92;98;79,88689995;4;4;PUBLICAR;Aceptables;2;3
CE;VENEZUELA;M;11/2/1992;NO;20195;EK201950307129;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;;12 o más;Educación profesional completa;Secundaria (Bachillerato) completa;Estrato 4;Si;Si;Si;Si;Si;No;No;No;1;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Más de 30 horas;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;171;3;78;57;188;3;89;72;184;3;90;76;210;B2;97;89;90;1;1;1;169;56;82;68,83580388;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CE;VENEZUELA;F;9/7/1993;NO;20195;EK201950225455;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;PE;12 o más;Técnica o tecnológica completa;Educación profesional completa;Estrato 5;Si;Si;Si;Si;No;No;No;Si;NINGUNA;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Más de 30 horas;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;160;3;67;42;179;3;82;60;175;3;83;64;198;B1;92;76;146;2;56;45;172;61;85;76,73143555;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CE;VENEZUELA;F;22/10/1991;NO;20195;EK201950246172;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Entre 20 y 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;CE;12 o más;Educación profesional completa;Educación profesional completa;Estrato 5;Si;Si;Si;Si;No;Si;No;No;NINGUNA;Pensionado;Pensionado;0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;195;3;94;87;196;3;94;82;215;4;100;99;224;B2;100;98;172;3;80;69;200;95;99;76,28105751;4;4;PUBLICAR;Aceptables;2;3
CE;VENEZUELA;M;16/10/1995;NO;20195;EK201950252932;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;PE;12 o más;Educación profesional completa;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;2;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;192;3;92;84;237;4;100;100;202;4;97;93;223;B2;100;97;120;2;14;10;195;91;98;85,50330365;4;4;PUBLICAR;Aceptables;0;2
CE;VENEZUELA;F;20/11/1995;NO;20195;EK201950212084;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;Si;Tomó un curso de preparación;Más de 30 horas;Menos de 20 horas;Menos de 20 horas;Si;Si;Si;;12 o más;Postgrado;Educación profesional completa;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Pensionado;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);0;1711;UNIVERSIDAD DE LA SABANA-CHIA;MEDICINA;2518;25175;CHÍA;CUNDINAMARCA;UNIVERSITARIO;PRESENCIAL;MEDICINA;25175;CHÍA;CUNDINAMARCA;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;167;3;74;51;173;3;77;52;151;2;59;35;213;B2;98;91;183;3;89;81;177;70;90;78,55827453;4;4;PUBLICAR;Aceptables;2;3
CE;VENEZUELA;M;11/5/1994;NO;20195;EK201950149219;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;Si;Tomó un curso de preparación;Más de 30 horas;Más de 30 horas;Más de 30 horas;Si;Si;Si;CE;12 o más;Técnica o tecnológica completa;Postgrado;Estrato 4;Si;Si;Si;Si;Si;Si;No;No;NINGUNA;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Más de 30 horas;1729;UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.;MEDICINA;1779;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - FUNDACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;166;3;73;50;155;2;57;32;122;1;29;15;200;B2;93;78;131;2;21;15;155;36;65;79,58448858;4;4;PUBLICAR;Oportunidad de Mejora;0;2
CE;VENEZUELA;M;7/12/1995;NO;20195;EK201950090515;ESTUDIANTE;VENEZUELA;BOGOTÁ;11;BOGOTÁ D.C.;11001;Más de 7 millones;No;No;Si;No;Repasó por cuenta propia;;;;;;;;11;Postgrado;Postgrado;Estrato 5;Si;Si;Si;Si;Si;Si;No;Si;1;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Menos de 10 horas;1813;UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.;MEDICINA;20044;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSITARIO;PRESENCIAL;MEDICINA;11001;BOGOTÁ D.C.;BOGOTÁ;UNIVERSIDAD;NO OFICIAL - CORPORACIÓN;N;11001;BOGOTÁ D.C.;BOGOTÁ;11;197;3;94;88;216;4;99;96;163;3;72;49;209;B2;97;88;165;3;72;60;190;87;97;89,25096044;4;4;PUBLICAR;Aceptables;2;3
